Season,Team,QB_QBR,QB_WinPct,QB_Wins
2015,49ers,40.42965779467681,0.3125,2.5
2015,Bears,56.33460803059273,0.375,5.625
2015,Bengals,68.32910891089108,0.75,8.5
2015,Bills,60.7603448275862,0.47115384615384615,6.125
2015,Broncos,49.055610561056106,0.75,6.125
2015,Browns,52.008210180623976,0.1875,1.25
2015,Buccaneers,57.2,0.375,6.0
2015,Cardinals,73.46405693950179,0.8125,13.0
2015,Chargers,57.68410794602698,0.25,4.0
2015,Chiefs,61.23262711864407,0.6875,11.0
2015,Colts,47.30726978998385,0.5,3.4375
2015,Commanders,67.29765342960289,0.5625,9.0
2015,Cowboys,16.133776091081593,0.25,1.1875
2015,Dolphins,45.69063032367973,0.375,6.0
2015,Eagles,37.57865168539326,0.4375,6.125
2015,Falcons,63.39661835748792,0.5,8.0
2015,Giants,58.23547351524879,0.375,6.0
2015,Jaguars,51.4,0.3125,5.0
2015,Jets,61.6453642384106,0.625,10.0
2015,Lions,58.50886075949367,0.4375,7.0
2015,Packers,59.89546247818499,0.625,10.0
2015,Panthers,60.73532934131737,0.9375,15.0
2015,Patriots,68.015923566879,0.75,12.0
2015,Raiders,42.941322314049586,0.4375,7.0
2015,Rams,31.2501066098081,0.4375,3.6875
2015,Ravens,35.91762962962962,0.3125,2.125
2015,Saints,68.2990990990991,0.4375,6.5625
2015,Seahawks,68.6723926380368,0.625,10.0
2015,Steelers,66.15338983050847,0.625,5.3125
2015,Texans,36.205672609400324,0.5625,3.375
2015,Titans,39.78909090909091,0.1875,2.25
2015,Vikings,56.850440528634365,0.6875,11.0
2016,49ers,50.79674134419552,0.125,1.0
2016,Bears,39.667204301075266,0.1875,1.0
2016,Bengals,52.3,0.375,6.0
2016,Bills,59.203382663847776,0.4375,6.5625
2016,Broncos,45.96572934973638,0.5625,7.125
2016,Browns,39.05727109515261,0.0625,0.3125
2016,Buccaneers,60.20034602076125,0.5625,9.0
2016,Cardinals,50.60046511627907,0.4375,5.6875
2016,Chargers,58.59879101899827,0.3125,5.0
2016,Chiefs,57.675919117647055,0.75,10.375
2016,Colts,63.414261168384876,0.5,7.5
2016,Commanders,66.5,0.5,8.0
2016,Cowboys,75.03118503118502,0.8125,13.0
2016,Dolphins,54.174579831932775,0.625,6.875
2016,Eagles,46.78684210526316,0.4375,7.0
2016,Falcons,79.23966480446927,0.6875,11.0
2016,Giants,45.7,0.6875,11.0
2016,Jaguars,43.0,0.1875,3.0
2016,Jets,33.23472727272727,0.3125,2.375
2016,Lions,65.2,0.5625,9.0
2016,Packers,71.31290322580645,0.625,10.0
2016,Panthers,44.021669626998225,0.375,5.25
2016,Patriots,76.40781818181819,0.875,8.625
2016,Raiders,53.52130872483222,0.75,11.25
2016,Rams,29.696622889305814,0.25,2.25
2016,Ravens,52.06814159292035,0.5,8.0
2016,Saints,66.8,0.4375,7.0
2016,Seahawks,57.374468085106386,0.625,10.0
2016,Steelers,57.65260504201681,0.6875,8.875
2016,Texans,50.28919382504288,0.5625,7.125
2016,Titans,59.86195219123506,0.5625,7.5625
2016,Vikings,53.38023850085179,0.5,6.625
2017,49ers,37.698187808896215,0.375,1.875
2017,Bears,30.857446808510634,0.3125,3.25
2017,Bengals,44.03176470588235,0.4375,7.0
2017,Bills,51.70746268656716,0.5625,7.125
2017,Broncos,36.8053003533569,0.3125,3.125
2017,Browns,32.36045296167248,0.0,0.0
2017,Buccaneers,53.985950413223144,0.3125,2.8125
2017,Cardinals,42.436180904522615,0.5,2.6875
2017,Chargers,61.22041166380789,0.5625,9.0
2017,Chiefs,65.55637707948244,0.625,8.5
2017,Colts,42.795071868583165,0.25,3.75
2017,Commanders,56.2,0.4375,7.0
2017,Cowboys,69.58012170385396,0.5625,9.0
2017,Dolphins,41.23823038397329,0.375,5.25
2017,Eagles,68.2831560283688,0.8125,9.3125
2017,Falcons,66.7,0.625,10.0
2017,Giants,47.137397034596376,0.1875,2.8125
2017,Jaguars,59.08780952380952,0.625,10.0
2017,Jets,51.0770137524558,0.3125,4.0625
2017,Lions,64.7719298245614,0.5625,9.0
2017,Packers,54.48538324420678,0.4375,3.4375
2017,Panthers,51.86,0.6875,11.0
2017,Patriots,70.3732538330494,0.8125,13.0
2017,Raiders,50.90860215053763,0.375,5.625
